domain,hosts_in_use,category,status,owner,owner_profile_url,age_days,registered_date,website_url,edit_domain_id,source_page
groups.id,1433,website,public,dukungan,https://freedns.afraid.org/tools/contact.php?user_id=1839437&subject=groups.id,3331,06/10/2017,http://www.groups.id/,1212702,1
hornburst.com,1365,website,private,lmat,https://freedns.afraid.org/tools/contact.php?user_id=1871464&subject=hornburst.com,483,03/21/2025,http://www.hornburst.com/,1450588,1
iz.rs,1346,website,private,izrs,https://freedns.afraid.org/tools/contact.php?user_id=376006&subject=iz.rs,6685,03/21/2008,http://www.iz.rs/,234243,1
ldtp.com,1338,website,public,piacas,https://freedns.afraid.org/tools/contact.php?user_id=526354&subject=ldtp.com,6126,10/15/2009,http://www.ldtp.com/,352093,1
boxathome.net,1316,website,public,malamothe,https://freedns.afraid.org/tools/contact.php?user_id=1388141&subject=boxathome.net,4792,06/09/2013,http://www.boxathome.net/,901945,1
malam.or.id,1316,website,public,ariews,https://freedns.afraid.org/tools/contact.php?user_id=408671&subject=malam.or.id,6573,07/23/2008,http://www.malam.or.id/,258918,1
centrodiagnosticogenetico.com,1269,website,public,crnieto,https://freedns.afraid.org/tools/contact.php?user_id=1120696&subject=centrodiagnosticogenetico.com,3818,02/09/2016,http://www.centrodiagnosticogenetico.com/,1139883,1
qvd.com.br,1257,website,private,dignet,https://freedns.afraid.org/tools/contact.php?user_id=185170&subject=qvd.com.br,7279,08/18/2006,http://www.qvd.com.br/,134611,1
smelly.cc,1235,website,public,chri1z,https://freedns.afraid.org/tools/contact.php?user_id=1825053&subject=smelly.cc,7152,12/24/2006,http://www.smelly.cc/,155354,1
mysaol.com,1198,website,public,mansuk,https://freedns.afraid.org/tools/contact.php?user_id=469857&subject=mysaol.com,6129,10/12/2009,http://www.mysaol.com/,351481,1
silksky.com,1153,website,private,xieliwei,https://freedns.afraid.org/tools/contact.php?user_id=572848&subject=silksky.com,6821,11/19/2007,http://www.silksky.com/,209455,1
mikata.ru,1107,website,public,techmag,https://freedns.afraid.org/tools/contact.php?user_id=873989&subject=mikata.ru,5340,12/09/2011,http://www.mikata.ru/,746097,1
aber.ir,1089,website,public,persianswitch,https://freedns.afraid.org/tools/contact.php?user_id=1269877&subject=aber.ir,3536,11/17/2016,http://www.aber.ir/,1184493,1
govt.hu,1089,website,public,ende,https://freedns.afraid.org/tools/contact.php?user_id=283469&subject=govt.hu,4923,01/30/2013,http://www.govt.hu/,864627,1
okzk.com,1065,website,public,okazaki,https://freedns.afraid.org/tools/contact.php?user_id=569499&subject=okzk.com,5969,03/21/2010,http://www.okzk.com/,389051,1
fluxus.org,1011,website,public,allenbukoff,https://freedns.afraid.org/tools/contact.php?user_id=771185&subject=fluxus.org,4631,11/17/2013,http://www.fluxus.org/,940949,1
8bit.ca,980,website,public,nezgar,https://freedns.afraid.org/tools/contact.php?user_id=2852719&subject=8bit.ca,3034,04/02/2018,http://www.8bit.ca/,1244966,1
